"","word","sum","wordnum","judge"
"1","中山資管",12,4,TRUE
"2","各位大大",12,4,TRUE
"3","在職專班",14,4,TRUE
"4","有興趣的",16,4,TRUE
"5","的學長姐",11,4,TRUE
"6","指導教授",10,4,TRUE
"7","感謝各位",12,4,TRUE
"8","大家好",14,3,TRUE
"9","大資管",12,3,TRUE
"10","不知道",24,3,TRUE
"11","比較好",10,3,TRUE
"12","成大資",10,3,TRUE
"13","有沒有",26,3,TRUE
"14","有機會",13,3,TRUE
"15","有興趣",11,3,TRUE
"16","老師的",14,3,TRUE
"17","位教授",12,3,TRUE
"18","希望能",11,3,TRUE
"19","找教授",39,3,TRUE
"20","的老師",14,3,TRUE
"21","的教授",24,3,TRUE
"22","的資訊",10,3,TRUE
"23","室風氣",10,3,TRUE
"24","研究所",26,3,TRUE
"25","站內信",13,3,TRUE
"26","問一下",10,3,TRUE
"27","問各位",12,3,TRUE
"28","推薦的",10,3,TRUE
"29","教授的",14,3,TRUE
"30","想請問",38,3,TRUE
"31","想請教",15,3,TRUE
"32","實驗室",46,3,TRUE
"33","學長姐",10,3,TRUE
"34","謝大家",14,3,TRUE
"35","一下",20,2,TRUE
"36","一個",28,2,TRUE
"37","了一",11,2,TRUE
"38","上的",15,2,TRUE
"39","下來",10,2,TRUE
"40","也有",10,2,TRUE
"41","大大",15,2,TRUE
"42","大工",15,2,TRUE
"43","大的",20,2,TRUE
"44","大概",18,2,TRUE
"45","大電",16,2,TRUE
"46","大學",34,2,TRUE
"47","小弟",38,2,TRUE
"48","工作",23,2,TRUE
"49","工程",15,2,TRUE
"50","已經",20,2,TRUE
"51","不太",16,2,TRUE
"52","不好",10,2,TRUE
"53","不會",13,2,TRUE
"54","中央",27,2,TRUE
"55","什麼",12,2,TRUE
"56","今年",19,2,TRUE
"57","比較",44,2,TRUE
"58","主要",12,2,TRUE
"59","北科",22,2,TRUE
"60","可能",16,2,TRUE
"61","台大",34,2,TRUE
"62","未來",14,2,TRUE
"63","本科",10,2,TRUE
"64","正取",25,2,TRUE
"65","生物",11,2,TRUE
"66","目前",59,2,TRUE
"67","交大",43,2,TRUE
"68","因為",49,2,TRUE
"69","好像",11,2,TRUE
"70","成大",56,2,TRUE
"71","成績",25,2,TRUE
"72","有人",12,2,TRUE
"73","有幸",20,2,TRUE
"74","有推",10,2,TRUE
"75","有點",16,2,TRUE
"76","老師",65,2,TRUE
