"","word","weight1","weight2","weight3","weight4","weight5","weight6","num1","num2","num3","num4","num5","num6","classnum"
"1","各位大大",0.0070123825381336,0,0,0,0,0,97,0,0,0,0,0,1
"2","請問各位",0.00405170301891416,0,0,0,0,0,56,0,0,0,0,0,1
"3","大家好",0.00607415522067028,0,0,0,0,0,84,0,0,0,0,0,1
"5","有沒有",0.00492907632880306,0,0,0.000535331125513867,0,0,109,0,0,53,0,0,2
"6","找教授",0.00542531522614623,0,0,0.000242445475224653,0,0,120,0,0,24,0,0,2
"7","的教授",0.00583116704115273,0,0,0.000202041503700667,0,0,129,0,0,20,0,0,2
"9","想請問",0.00749814108587348,0,0,0,0,0.00525013522834684,166,0,0,0,0,2,2
"11","學長姐",0.00389078204887931,0,0,0.000232344617613136,0,0,86,0,0,23,0,0,2
"13","上的",0.00380045054292369,0,0,0.000999752904864427,0,0,84,0,0,99,0,0,2
"15","大電",0.00397943073133285,0,0,0,0,0,55,0,0,0,0,0,1
"21","中山",0.00456803855581785,0,0,0.000616113826022344,0,0,101,0,0,61,0,0,2
"23","中興",0.00330349830276214,0,0,0.000393947519063169,0,0,73,0,0,39,0,0,2
"27","可能",0.0033938694926732,0,0,0.00109059574175883,0,0,75,0,0,108,0,0,2
"29","台科",0.00348423346472635,0,0,0.000282848003917379,0,0,77,0,0,28,0,0,2
"42","所的",0.00426850255213549,0,0,0,0,0,59,0,0,0,0,0,1
"44","版上",0.00325831000074929,0,0,0.000363648733220208,0,0,72,0,0,36,0,0,2
"45","的話",0.00262548419276593,0,0,0.00144380411927053,0,0,58,0,0,143,0,0,2
"49","是否",0.00343905238085995,0,0,0.000363648733220208,0,0,76,0,0,36,0,0,2
"54","推甄",0.00307753874228762,0,0,0.000888712864568584,0,0,68,0,0,88,0,0,2
"60","備上",0.00357459022007471,0,0,0.000252546242659201,0,0,79,0,0,25,0,0,2
"62","想問",0.00520766695371541,0,0,0,0,0,72,0,0,0,0,0,1
"63","感謝",0.00492907632880306,0,0,0.000908902773407538,0,0,109,0,0,90,0,0,2
"68","電機",0.0040262657865712,0,0,0.000333349135958139,0,0,89,0,0,33,0,0,2
"70","請益",0.0420967503615601,0,0,0,0,0,588,0,0,0,0,0,1
"71","請問",0.00307753874228762,0,0,0,0,0.00525013522834684,68,0,0,0,0,2,2
"78","乙",0.00384561719741366,0,0,0.000313148953640543,0,0,85,0,0,31,0,0,2
"86","友",0.00262548419276593,0,0,0.000323249089881386,0,0,58,0,0,32,0,0,2
"92","方",0.00528999892903768,0.00444693768237704,0,0,0,0,117,39,0,0,0,0,2
"111","身",0.00248983259959436,0,0,0.000848331965989463,0,0,55,0,0,84,0,0,2
"115","念",0.00253505160447623,0,0,0.000444443692433372,0,0,56,0,0,44,0,0,2
"125","指",0.00262548419276593,0,0,0.00038384801393715,0,0,58,0,0,38,0,0,2
"130","修",0.00348423346472635,0,0,0.000949281510249031,0,0,77,0,0,94,0,0,2
"133","原",0.00253505160447623,0,0,0.000474740314705166,0,0,56,0,0,47,0,0,2
"171","路",0.00253505160447623,0,0,0.000343449091872663,0,0,56,0,0,34,0,0,2
"179","網",0.00470344122215983,0,0,0.000282848003917379,0,0,104,0,0,28,0,0,2
"182","麼",0.00244461178736227,0.00216864027237479,0,0,0,0,54,19,0,0,0,0,2
"185","確",0.00248983259959436,0,0,0.000272747507004079,0,0,55,0,0,27,0,0,2
"190","導",0.00262548419276593,0,0,0.000474740314705166,0,0,58,0,0,47,0,0,2
"192","選",0.00352941274441649,0,0,0.000989658806060435,0,0,78,0,0,98,0,0,2
"193","幫",0.00560571178434561,0,0.0041564251814246,0,0,0,124,0,17,0,0,0,2
"201","類",0.00258026880215185,0,0,0.000393947519063169,0,0,57,0,0,39,0,0,2
"202","讀",0.00515466644609208,0,0,0.00131262530781852,0,0,114,0,0,130,0,0,2
"204","謝謝大家",0.0041239724180876,0,0,0,0,0,57,0,0,0,0,0,1
"212","碩士班招生",0,0.0027369291908356,0,0,0,0,0,15,0,0,0,0,1
"213","網路報名",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"214","有興趣",0,0.00205460488332584,0,0.000323249089881386,0,0,0,18,0,32,0,0,2
"215","的同學",0,0.00251067749314588,0,0.000474740314705166,0,0,0,22,0,47,0,0,2
"216","的研究",0,0.0029665663323921,0,0.00038384801393715,0,0,0,26,0,38,0,0,2
"217","祝大家",0,0.00228266416881711,0.00293553144960226,0,0,0,0,20,12,0,0,0,2
"218","管理學",0,0.0027369291908356,0,0,0,0,0,15,0,0,0,0,1
"219","學年度",0,0.00419493271362811,0,0,0,0,0,23,0,0,0,0,1
"222","入學",0,0.00401274654943395,0,0,0,0,0,22,0,0,0,0,1
"223","下午",0,0.00216864027237479,0,0.00022224366982304,0,0,0,19,0,22,0,0,2
"224","口試",0,0.00387779329113529,0,0.000545429278516529,0,0,0,34,0,54,0,0,2
"225","加入",0,0.00383054202802637,0,0,0,0,0,21,0,0,0,0,1
"226","台灣",0,0.00171242973736635,0,0.000858427325750819,0,0,0,15,0,85,0,0,2
"227","本系",0,0.00346607789877129,0,0,0,0,0,19,0,0,0,0,1
"228","本校",0,0.00383054202802637,0,0,0,0,0,21,0,0,0,0,1
"229","企業",0,0.00194055799935333,0,0.00019194028536517,0,0,0,17,0,19,0,0,2
"230","合作",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"231","同學",0,0.00308050984540359,0,0.000757469674324365,0,0,0,27,0,75,0,0,2
"232","地點",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"233","我們",0,0.00626627815319333,0,0.00110068894007183,0,0,0,55,0,109,0,0,2
"234","系所",0,0.00308050984540359,0,0.000272747507004079,0,0,0,27,0,27,0,0,2
"235","系統",0,0.00376393004829865,0,0.000646405851731454,0,0,0,33,0,64,0,0,2
"236","招生",0,0.0100152194400378,0,0,0,0,0,55,0,0,0,0,1
"237","科系",0,0.0027369291908356,0,0,0,0,0,15,0,0,0,0,1
"238","計畫",0,0.00251067749314588,0,0.000252546242659201,0,0,0,22,0,25,0,0,2
"239","面試",0,0.00216864027237479,0,0.00150434305669815,0,0,0,19,0,149,0,0,2
"240","國立",0,0.00410548540530485,0,0.00026264691991864,0,0,0,36,0,26,0,0,2
"241","國際",0,0.00478828694171434,0,0.000212142631852753,0,0,0,42,0,21,0,0,2
"242","專業",0,0.00319444188431878,0,0.000272747507004079,0,0,0,28,0,27,0,0,2
"243","情報",0,0.0273645152293963,0,0,0,0,0,151,0,0,0,0,1
"244","教育",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"245","產業",0,0.00474138109991082,0,0,0,0,0,26,0,0,0,0,1
"246","設計",0,0.00444693768237704,0,0.000545429278516529,0,0,0,39,0,54,0,0,2
"247","通訊",0,0.00383054202802637,0,0,0,0,0,21,0,0,0,0,1
"248","連結",0,0.00239667657496879,0,0.000202041503700667,0,0,0,21,0,20,0,0,2
"249","報名",0,0.0110281740174971,0,0.000585820989256674,0,0,0,97,0,58,0,0,2
"250","報考",0,0.00467451529784641,0,0.000515134549116052,0,0,0,41,0,51,0,0,2
"251","提供",0,0.00273864487483418,0,0.000414146258858601,0,0,0,24,0,41,0,0,2
"252","筆試",0,0.00251067749314588,0,0.000212142631852753,0,0,0,22,0,21,0,0,2
"254","暨大",0,0.00310154029625066,0,0,0,0,0,17,0,0,0,0,1
"256","網址",0,0.00583378272667698,0,0,0,0,0,32,0,0,0,0,1
"257","網頁",0,0.00346607789877129,0,0,0,0,0,19,0,0,0,0,1
"258","網站",0,0.00401274654943395,0,0,0,0,0,22,0,0,0,0,1
"260","學生",0,0.0059253745866636,0,0.000747373413686279,0,0,0,52,0,74,0,0,2
"261","學院",0,0.00546972217155567,0,0,0,0,0,30,0,0,0,0,1
"262","學習",0,0.00251067749314588,0,0.000626211258040576,0,0,0,22,0,62,0,0,2
"263","學程",0,0.00328381828352053,0,0,0,0,0,18,0,0,0,0,1
"264","簡章",0,0.00401274654943395,0,0,0,0,0,22,0,0,0,0,1
"265","歡迎",0,0.00694777728723589,0,0.000151534510156621,0,0,0,61,0,15,0,0,2
"266","二",0,0.00535697361440176,0,0.00134289869120007,0,0,0,47,0,133,0,0,2
