"","V1","V2","V3"
"temp3","svm","1","2939"
"temp","svm","2","2951"
"temp","svm","3","2955"
"temp","svm","4","2961"
"temp","svm","5","2961"
"temp","svm","6","2817"
"temp","svm","7","2759"
"temp","svm","8","3110"
"temp","svm","9","3111"
"temp","svm","10","3111"
"temp","svm","11","3003"
"temp","svm","12","3003"
"temp","svm","13","2983"
"temp","svm","14","2984"
"temp","svm","15","2983"
"temp","svm","16","2984"
"temp","svm","17","2979"
"temp","svm","18","2979"
"temp","svm","19","2978"
"temp","svm","20","2840"
"temp","svm","21","2786"
"temp","svm","22","2785"
"temp","svm","23","2783"
"temp4","knn","1","2939"
"temp","knn","2","2951"
"temp","knn","3","2955"
"temp","knn","4","2961"
"temp","knn","5","2961"
"temp","knn","6","2817"
"temp","knn","7","2759"
"temp","knn","8","3110"
"temp","knn","9","3111"
"temp","knn","10","3111"
"temp","knn","11","3003"
"temp","knn","12","3003"
"temp","knn","13","2983"
"temp","knn","14","2984"
"temp","knn","15","2983"
"temp","knn","16","2984"
"temp","knn","17","2979"
"temp","knn","18","2979"
"temp","knn","19","2978"
"temp","knn","20","2840"
"temp","knn","21","2786"
"temp","knn","22","2785"
"temp","knn","23","2783"
